row-number,field,issue-type,value
199,PlanningHistory,uri,11/00539/FUL
199,LastUpdatedDate,default,2018-05-22
200,PlanningHistory,uri,11/00508/OUT
200,LastUpdatedDate,default,2018-05-22
201,PlanningHistory,uri,11/00590/FUL
201,LastUpdatedDate,default,2018-05-22
202,PlanningHistory,uri,11/00919/FUL
202,LastUpdatedDate,default,2018-05-22
203,PlanningHistory,uri,11/01089/FUL
203,LastUpdatedDate,default,2018-05-22
204,PlanningHistory,uri,11/01142/FUL
204,LastUpdatedDate,default,2018-05-22
205,PlanningHistory,uri,09/01006/DWO
205,LastUpdatedDate,default,2018-05-22
206,PlanningHistory,uri,10/00770/FUL
206,LastUpdatedDate,default,2018-05-22
207,PlanningHistory,uri,12/00754/FUL
207,LastUpdatedDate,default,2018-05-22
208,PlanningHistory,uri,12/00866/OUT
208,LastUpdatedDate,default,2018-05-22
209,PlanningHistory,uri,11/01038/FUL
209,LastUpdatedDate,default,2018-05-22
210,PlanningHistory,uri,10/00081/FUL
210,LastUpdatedDate,default,2018-05-22
211,PlanningHistory,uri,12/01081/FUL
211,LastUpdatedDate,default,2018-05-22
212,PlanningHistory,uri,16/00890/FUL
212,LastUpdatedDate,default,2018-05-22
213,PlanningHistory,uri,12/00941/FUL
213,LastUpdatedDate,default,2018-05-22
214,PlanningHistory,uri,12/00227/REM
214,LastUpdatedDate,default,2018-05-22
215,PlanningHistory,uri,12/01487/FUL
215,LastUpdatedDate,default,2018-05-22
216,PlanningHistory,uri,10/00565/FUL
216,LastUpdatedDate,default,2018-05-22
217,PlanningHistory,uri,13/00059/FUL
217,LastUpdatedDate,default,2018-05-22
218,PlanningHistory,uri,12/01289/FUL
218,LastUpdatedDate,default,2018-05-22
219,PlanningHistory,uri,12/01256/FUL
219,LastUpdatedDate,default,2018-05-22
220,PlanningHistory,uri,12/00409/FUL
220,LastUpdatedDate,default,2018-05-22
221,PlanningHistory,uri,12/00502/FUL
221,LastUpdatedDate,default,2018-05-22
222,PlanningHistory,uri,12/00320/OUT
222,LastUpdatedDate,default,2018-05-22
223,PlanningHistory,uri,12/01381/FUL
223,LastUpdatedDate,default,2018-05-22
224,PlanningHistory,uri,12/01008/EXT
224,LastUpdatedDate,default,2018-05-22
225,PlanningHistory,uri,12/01253/FUL
225,LastUpdatedDate,default,2018-05-22
226,PlanningHistory,uri,13/00055/FUL
226,LastUpdatedDate,default,2018-05-22
227,PlanningHistory,uri,12/01329/FUL
227,LastUpdatedDate,default,2018-05-22
228,PlanningHistory,uri,12/01152/FUL
228,LastUpdatedDate,default,2018-05-22
229,PlanningHistory,uri,12/01176/FUL
229,LastUpdatedDate,default,2018-05-22
230,PlanningHistory,uri,12/00861/FUL
230,LastUpdatedDate,default,2018-05-22
231,PlanningHistory,uri,12/01036/FUL
231,LastUpdatedDate,default,2018-05-22
232,PlanningHistory,uri,10/01257/OUT
232,LastUpdatedDate,default,2018-05-22
233,PlanningHistory,uri,16/00137/FUL
233,LastUpdatedDate,default,2018-05-22
234,PlanningHistory,uri,08/01432/REM
234,LastUpdatedDate,default,2018-05-22
235,PlanningHistory,uri,08/01403/FUL
235,LastUpdatedDate,default,2018-05-22
