site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Pioneer Social Club, Seghill Road Ends, Dudley",,,2017-12-22,,0.15,8,5,Residential development,local-authority-eng:NTY,not owned by a public authority,2005-11-30,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=IQTQOSBHT9000,permissioned,outline planning permission,266,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
Stephenson Industrial Estate East,,,2017-12-22,,4.88,110,110,The sites in this location have been subject to a range of applications that include an element of residential development. This includes permitted schemes for 54 units (12/00542/OUT) and 60 units (12/01851/OUT).,local-authority-eng:NTY,mixed ownership,,,not permissioned,,277,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
Stephenson Industrial Estate West,,,2017-12-22,,7.3,164,164,Allocated for mixed-use (re)development through Local Plan. Neighbouring residential schemes indicate that delivery of residential on site over next 10 years is possible.,local-authority-eng:NTY,mixed ownership,,,not permissioned,,278,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Tanners Bank West (S), North Shields (former Tyne Brand site)",,,2017-12-22,,1.85,50,50,,local-authority-eng:NTY,mixed ownership,,,not permissioned,,280,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Tanners Bank East, North Shields",,,2017-12-22,,0.95,42,42,,local-authority-eng:NTY,mixed ownership,,,not permissioned,,281,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Brewhouse Bank A (northern parcel), North Shields",,,2017-12-22,,0.51,18,18,"Allocated for mixed-use (re)development through Local Plan. Remaining element of land at Brewhouse Bank A not subject to permitted application (15/00577/OUT). Preferred development as part of a comprehensive scheme - potentially including sites 280 to 285. Considered with regard to complexity of land ownership, potential contamination and employment land supply.",local-authority-eng:NTY,mixed ownership,,,not permissioned,,282,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"East George Street, North Shields",,,2017-12-22,,0.87,31,31,,local-authority-eng:NTY,mixed ownership,,,not permissioned,,284,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Hutson Street & East George Street Block, North Shields",,,2017-12-22,,0.45,16,16,,local-authority-eng:NTY,mixed ownership,,,not permissioned,,285,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Dock Road Industrial Estate, Lawson Street, North Shields",,,2017-12-22,,4.25,96,96,,local-authority-eng:NTY,mixed ownership,,,not permissioned,,288,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Land at North Shields Metro Station, Russell Street, North Shields",yes,,2017-12-22,,0.52,14,14,,local-authority-eng:NTY,not owned by a public authority,,,not permissioned,,299,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Land adjacent to Benton Metro Station, Station Approach, Benton",yes,,2017-12-22,,0.39,20,12,,local-authority-eng:NTY,not owned by a public authority,,,not permissioned,,301,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Metro Sidings at Waterville Road, North Shields",yes,,2017-12-22,,1.24,34,34,,local-authority-eng:NTY,not owned by a public authority,,,not permissioned,,302,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Percy Hedley School, Station Road, Forest Hall",,,2017-12-22,,0.62,28,17,,local-authority-eng:NTY,not owned by a public authority,,,not permissioned,,307,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Land at Albion Road, North Shields",,,2017-12-22,,0.25,8,8,,local-authority-eng:NTY,not owned by a public authority,,,not permissioned,,311,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Albion House, Albion Road, North Shields",,,2017-12-22,,0.79,21,21,,local-authority-eng:NTY,,,,not permissioned,,315,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Bingo Hall, Lovaine Place, North Shields",,,2017-12-22,,0.12,4,4,,local-authority-eng:NTY,,,,not permissioned,,323,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Land at Waldo Street, North Shields",,,2017-12-22,,0.11,3,3,,local-authority-eng:NTY,,,,not permissioned,,324,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Telephone Exchange, Station Road, Wallsend",,,2017-12-22,,0.2,6,6,,local-authority-eng:NTY,,,,not permissioned,,326,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Whisky Bends, Promenade, Whitley Bay",,,2017-12-22,,0.02,5,5,"Demolish existing building, site to be sub soiled, top soiled and grass seeded",local-authority-eng:NTY,owned by a public authority,2014-05-06,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OWUF7SBHJNJ00,not permissioned,other,337,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
