site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
54 Drax Avenue SW20 0EY,,,2020-01-10,,0.05,,,DEMOLITION OF EXISTING HOUSE AND ERECTION OF NEW DETACHED DWELLINGHOUSE WITH BASEMENT LEVEL AND ROOMS IN ROOFSPACE,local-authority-eng:MRT,,2018-06-12,,permissioned,full planning permission,18/P3499,https://maps.london.gov.uk/brownfield-site-register/,2020-01-10
25 Spencer Hill SW19 4PA,,,2020-01-10,,0.03,8,8,DEMOLITION OF GARAGES AND THE ERECTION OF A FIVE STOREY RESIDENTIAL BLOCK (INCLUDING LOWER GROUND LEVEL AND SET-BACK TOP FLOOR) TO CREATE 8 SELF-CONTAINED FLATS (2 x 1 BED AND 6 x 2 BED UNITS) WITH AS,local-authority-eng:MRT,,2019-02-22,,permissioned,full planning permission,18/P4204,https://maps.london.gov.uk/brownfield-site-register/,2020-01-10
591 To 595 Kingston Road SW20 8SA,,,2020-01-10,,0.03,6,6,APPLICATION TO DETERMINE WHETHER PRIOR APPROVAL IS REQUIRED IN RESPECT OF THE PROPOSED CHANGE OF USE FROM OFFICE SPACE (CLASS B1a) TO RESIDENTIAL (CLASS C3),local-authority-eng:MRT,,2019-09-04,,permissioned,full planning permission,19/P0581,https://maps.london.gov.uk/brownfield-site-register/,2020-01-10
591 Kingston Road SW20 8SA,,,2020-01-10,,0.03,6,6,APPLICATION TO DETERMINE WHETHER PRIOR APPROVAL IS REQUIRED IN RESPECT OF THE PROPOSED ERECTION OF THE PROPOSED CHANGE OF USE FROM STORAGE (CLASS B8) TO RESIDENTIAL (CLASS C3),local-authority-eng:MRT,,2019-09-04,,permissioned,full planning permission,19/P0583,https://maps.london.gov.uk/brownfield-site-register/,2020-01-10
558 Kingston Road SW20 8DR,,,2020-01-10,,0.01,,,APPLICATION TO DETERMINE WHETHER PRIOR APPROVAL IS REQUIRED IN RESPECT OF THE PROPOSED CHANGE OF USE FROM OFFICE (B1(a)) TO RESIDENTIAL (C3),local-authority-eng:MRT,,2019-11-04,,permissioned,full planning permission,19/P0711,https://maps.london.gov.uk/brownfield-site-register/,2020-01-10
"49 Western Road, Mitcham, Merton",,,2020-01-10,,2.27,,,,local-authority-eng:MRT,,,,,,17240004,https://maps.london.gov.uk/brownfield-site-register/,2020-01-10
"Hartfield Road Car Park, Wimbledon, SW19 3TB",,,2020-01-10,,0.420268121,,,,local-authority-eng:MRT,owned by a public authority,,,allocation,,17240016,https://maps.london.gov.uk/brownfield-site-register/,2017-12-31
"Birches Close, Mitcham, CR4 4LQ",,,2020-01-10,,0.969866455,,,,local-authority-eng:MRT,not owned by a public authority,,,allocation,,17240028,https://maps.london.gov.uk/brownfield-site-register/,2017-12-31
Next site off Bushey Road,,,2020-01-10,,2.59,,,,local-authority-eng:MRT,,,,,,17240030,https://maps.london.gov.uk/brownfield-site-register/,2020-01-10
"Sibthorpe Road Car Park, Mitcham, CR4 3NN",,,2020-01-10,,0.282461386,,,,local-authority-eng:MRT,owned by a public authority,,,allocation,,17240043,https://maps.london.gov.uk/brownfield-site-register/,2017-12-31
"Chaucer Centre, Canterbury Road, Morden, SM4 6PX",,,2020-01-10,,0.625601905,,,,local-authority-eng:MRT,owned by a public authority,,,allocation,,17240045,https://maps.london.gov.uk/brownfield-site-register/,2017-12-31
CR4 3NZ,,,2020-01-10,,0.31,,,,local-authority-eng:MRT,,,,,,17240068,https://maps.london.gov.uk/brownfield-site-register/,2020-01-10
Garth Road,,,2020-01-10,,2.13,,,,local-authority-eng:MRT,,,,,,17240102,https://maps.london.gov.uk/brownfield-site-register/,2020-01-10
"York Close Car Park, Morden, SM4 5HN",,,2020-01-10,,0.757214184,,,,local-authority-eng:MRT,owned by a public authority,,,allocation,,17240156,https://maps.london.gov.uk/brownfield-site-register/,2017-12-31
SW17 9JR,,,2020-01-10,,0.43,,,,local-authority-eng:MRT,,,,,,17240212,https://maps.london.gov.uk/brownfield-site-register/,2020-01-10
