site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Rose Croft, 95 Hull Road",yes,,2018-03-31,,0.26,5,5,16/01933/OUT,local-authority-eng:ERY,not owned by a public authority,2016-10-17,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/16/01933/OUT,permissioned,outline planning permission,222,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/16/01933/OUT,2017-12-04
Thornleigh Cottage,yes,,2018-03-31,,0.24,6,6,17/01327/PLF,local-authority-eng:ERY,not owned by a public authority,2017-08-18,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/17/01327/PLF,permissioned,reserved matters approval,223,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/17/01327/PLF,2017-12-04
"Elm Tree Inn, 46 High Street",yes,,2018-03-31,,0.14,7,7,17/02002/PLF,local-authority-eng:ERY,not owned by a public authority,2017-09-05,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/17/02002/PLF,permissioned,full planning permission,224,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/17/02002/PLF,2018-06-30
"The Paddock, North Street",yes,,2018-03-31,,0.41,9,9,17/00612/PLF,local-authority-eng:ERY,not owned by a public authority,2017-05-08,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/17/00612/PLF,permissioned,full planning permission,225,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/17/00612/PLF,2018-06-30
30 Molescroft Road,yes,,2018-03-31,,0.49,28,28,17/01574/PLF,local-authority-eng:ERY,not owned by a public authority,2018-06-28,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/17/01574/PLF,permissioned,full planning permission,226,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/17/01574/PLF,2017-12-04
"Former Military Camp, Gowthorpe Lane, Gowthorpe",yes,,2018-03-31,,0.66,5,5,18/00939/SRNOT,local-authority-eng:ERY,not owned by a public authority,2018-05-04,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/18/00939/SRNOT,permissioned,full planning permission,227,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/18/00939/SRNOT,2017-12-05
"The London Hotel, 1 Royal Crescent",yes,,2018-03-31,,0.03,6,6,18/00484/PLF,local-authority-eng:ERY,not owned by a public authority,2018-04-23,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/18/00484/PLF,permissioned,full planning permission,228,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/18/00484/PLF,2017-12-04
"Integra Buildings Ltd, Main Street",yes,,2018-03-31,,0.88,22,22,17/01337/OUT,local-authority-eng:ERY,not owned by a public authority,2018-03-29,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/17/01337/OUT,permissioned,outline planning permission,229,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/17/01337/OUT,2018-11-14
"F W Lawson Coal Depot, 2 Albion Street",yes,,2018-03-31,,0.42,16,16,16/02695/PLF,local-authority-eng:ERY,not owned by a public authority,2017-11-10,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/16/02695/PLF,permissioned,full planning permission,230,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/16/02695/PLF,2017-12-04
54 Elloughton Road,yes,,2018-03-31,,0.46,35,35,15/03662/PLF,local-authority-eng:ERY,not owned by a public authority,2017-07-20,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/15/03662/PLF,permissioned,full planning permission,231,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/15/03662/PLF,2018-11-14
Land To The North East Of Leisure Time 2 Pasture Road,yes,,2018-03-31,,0.05,6,6,17/00885/OUT,local-authority-eng:ERY,not owned by a public authority,2017-10-13,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/17/00885/OUT,permissioned,outline planning permission,232,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/17/00885/OUT,2017-12-04
Waltham Chartered Accountants 64 - 66 Aire Street,yes,,2018-03-31,,0.03,11,11,17/03875/ORNOT,local-authority-eng:ERY,not owned by a public authority,2018-01-08,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/17/03875/ORNOT,permissioned,full planning permission,233,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/17/03875/ORNOT,2016-07-12
2 Magdalen Gate,yes,,2018-03-31,,0.02,5,5,17/04208/PLF,local-authority-eng:ERY,not owned by a public authority,2018-03-20,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/17/04208/PLF,permissioned,full planning permission,234,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/17/04208/PLF,2016-07-12
"Hessle High School And Sixth Form College, Boothferry Road",yes,,2018-03-31,,2.31,62,62,17/02301/REG4,local-authority-eng:ERY,owned by a public authority,2017-10-06,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/17/02301/REG4,permissioned,outline planning permission,235,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/17/02301/REG4,2016-07-12
Land East of Eastfield Road,yes,,2018-03-31,,0.49,5,5,17/03831/STREM,local-authority-eng:ERY,not owned by a public authority,,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/17/03831/STREM,pending decision,,236,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/17/03831/STREM,2016-07-12
Land South West And East Austrothy House,yes,,2018-03-31,,1.65,22,22,15/03146/STREM,local-authority-eng:ERY,not owned by a public authority,2017-05-26,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/15/03146/STREM,permissioned,reserved matters approval,237,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/PLAN/15/03146/STREM,2016-07-12
