site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Old Cockington School, 21 Old Mill Road, Torquay",,,2019-12-11,,0.22,20,10,P/2019/0919,local-authority-eng:TOB,owned by a public authority,,,pending decision,,NP1,,2019-12-11
"Dainton Storage Yard, Torre Station, Torquay",,,2019-12-11,,1.37,30,15,,local-authority-eng:TOB,not owned by a public authority,,,not permissioned,,NP2,,2019-12-11
"Dairy Crest, Parkfield Road",,,2019-12-11,,0.5,43,20,P/2019/0283,local-authority-eng:TOB,not owned by a public authority,2019-10-28,,pending decision,,NP3,,2019-12-11
"St Kilda, 15 Drew Street, Brixham",,,2019-12-11,,0.28,12,6,,local-authority-eng:TOB,owned by a public authority,,,not permissioned,,H3-I3,,2019-12-11
"Oxen Cove & Freshwater Quarry, Brixham",,,2019-12-11,,1.1,10,5,,local-authority-eng:TOB,owned by a public authority,,,not permissioned,,H3-I6,,2019-12-11
"Former Jewson, New Road, Brixham",,,2019-12-11,,0.09,20,10,,local-authority-eng:TOB,not owned by a public authority,,,not permissioned,,H3-I8,,2019-12-11
"Paignton Police Station, Southfield Road, Paignton",yes,,2019-12-11,,0.48,46,46,P/2018/0881,local-authority-eng:TOB,not owned by a public authority,2019-03-05,,permissioned,reserved matters approval,R775,,2019-12-11
"182 St Marychurch Road, Torquay",,11/12/2019,2019-12-11,,0.1,7,7,P/2017/1293,local-authority-eng:TOB,not owned by a public authority,2018-09-17,,permissioned,full planning permission,R826,,2019-12-11
"Astoria Court, 5 Belle Vue Road, Paignton",,,2019-12-11,,0.26,9,9,P/2018/0184,local-authority-eng:TOB,not owned by a public authority,2018-12-20,,permissioned,full planning permission,C1358,,2019-12-11
"R/O 188-190 Torquay Road, Paignton",,,2019-12-11,,0.13,9,9,P/2018/0618,local-authority-eng:TOB,not owned by a public authority,2019-03-08,,permissioned,outline planning permission,1091,,2019-12-11
"Suite Dreams Hotel, Steep Hill, Torquay",,,2019-12-11,,0.12,10,10,P/2018/1216,local-authority-eng:TOB,not owned by a public authority,2019-02-15,,permissioned,full planning permission,C811,,2019-12-11
"18 Babbacombe Road, Torquay",,11/12/2019,2019-12-11,,0.1,10,10,P/2017/0178,local-authority-eng:TOB,not owned by a public authority,2017-05-05,,permissioned,full planning permission,C1287,,2019-12-11
