point,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 2059,"Land Adjacent 167 Spotland Road, Rochdale",,,,0.08,not owned by a public authority,,permissioned,,,,5,5,5,,,2017-11-28,2017-11-28,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 2061,"185 Yorkshire Street, Rochdale",,,,0.03,,,permissioned,,,,6,6,6,,,2017-11-28,2017-11-28,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 2064,"Wr Anderton And Co, Maltings Lane, Rochdale",,,,1.59,,,permissioned,,,,63,63,63,,,2017-11-28,2017-11-28,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 2065,"Queens Drive Gateway (Including Site Of Temporary Health Centre), Kirkholt",,,,0.64,not owned by a public authority,,Not Permissioned,,,,20,20,20,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 2066,"London House, Oldham Road, Middleton",,,,0.25,,,Not Permissioned,,,,42,42,42,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 2071,"156-158 Drake Street, Rochdale",,,,0.05,,,permissioned,,,,5,5,5,,,2017-11-28,2017-11-28,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 2072,"Greave House, Greave Avenue, Rochdale",,,,0.02,not owned by a public authority,,permissioned,,,,6,6,6,,,2017-11-28,2017-11-28,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 2077,"New Street Works, New Street, Rochdale",,,,0.11,,,permissioned,,,,8,8,8,,,2017-11-28,2017-11-28,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 2080,"Lomax Transport Services, Trub Farm, Manchester Road, Rochdale",,,,1.34,not owned by a public authority,,permissioned,,,,29,29,29,,,2017-11-28,2017-11-28,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 2090,"Land At Stratford Avenue, Rochdale",,,,0.07,not owned by a public authority,,Not Permissioned,,,,5,5,5,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 2100,"Land Adj To 12 Wham Street, Heywood",,,,0.1,,,permissioned,,,,9,9,9,,,2017-11-28,2017-11-28,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 2110,"Land At Keswick Close, Langley",,,,1.28,,,permissioned,,,,98,98,98,,,2017-11-28,2017-11-28,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 2112,"Milton St Family And Children Centre, Milton Street, Middleton",,,,0.16,not owned by a public authority,,permissioned,,,,8,8,8,,,2017-11-28,2017-11-28,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 2119,"Remainder Of Ladybarn Car Park, Harbour Lane, Milnrow",,,,0.14,,,Not Permissioned,,,,5,5,5,,,2017-11-29,2017-11-29,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 2120,"The Ladybarn, Harbour Lane, Milnrow",,,,0.2,,,permissioned,,,,7,7,7,,,2017-11-28,2017-11-28,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 2131,"Former Dexine Rubber Co. Ltd., Spotland Road, Rochdale",,,,1.62,,,permissioned,,,,102,102,102,,,2017-11-28,2017-11-28,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 2132,"Former Garage Site, Rossall Road, Rochdale",,,,0.11,not owned by a public authority,,permissioned,,,,6,6,6,,,2017-11-28,2017-11-28,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 2139,"Land At Ramsay Place, Rochdale",,,,0.2,not owned by a public authority,,permissioned,,,,12,12,12,,,2017-11-28,2017-11-28,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 2140,"Land Between 395&421 Edenfield Road, Rocdale",,,,0.24,not owned by a public authority,,permissioned,,,,10,10,10,,,2017-11-28,2017-11-28,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 2147,"Norden Urc Church, Forsyth Street, Rochdale",,,,0.09,,,permissioned,,,,5,5,5,,,2017-11-28,2017-11-28,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 2150,"Site Of Fomer Rainshore Mill, Over Town Lane, Rochdale",,,,7.06,,,permissioned,,,,42,42,42,,,2017-11-28,2017-11-28,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 2166,"1-46 The Strand, Kirkholt",,,,1.08,not owned by a public authority,,permissioned,,,,16,16,16,,,2017-11-28,2017-11-28,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 2171,"431 Halifax Road, Wardle",,,,0.04,,,permissioned,,,,6,6,6,,,2017-11-28,2017-11-28,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 2174,"78 Peel Lane, Heywood",,,,0.14,,,permissioned,,,,7,7,7,,,2017-11-28,2017-11-28,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 2178,"Boots Company Plc, Mary Street, Heywood",,,,1.25,,,permissioned,,,,37,37,37,,,2017-11-28,2017-11-28,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 2181,"Former Balderstone High School, Queen Victoria Street, Rochdale",,,,4.02,,,permissioned,,,,143,143,143,,,2017-11-28,2017-11-28,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 2193,"Land Adjoining Howard Street And Abbeydale Road And Land Adjoining Howard Street And Redcross Street, Lower Falinge",,,,0.56,not owned by a public authority,,permissioned,,,,19,19,19,,,2017-11-28,2017-11-28,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 2194,"Land At Baytree Lane, Middleton",,,,2.62,,,permissioned,,,,110,110,110,,,2017-11-28,2017-11-28,
,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,,SH 2197,"Land At Moorhouse Fold, Milnrow",,,,0.09,,,permissioned,,,,5,5,5,,,2017-11-28,2017-11-28,
