point,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
,http://opendatacommunities.org/id/district-council/woking,,BLR2020017,"12-16, 25-31 Portugal Road And, Lok N Store Marlborough Road, Woking, Surrey, GU21 5JE",-0.551,51.322,http://www.woking2027.info/ldfregisters,0.34,not owned by a public authority,,permissioned,full planning permission,2020-04-07,,,67,67,yes,Yield from PLAN/2019/0904,2020-12-11,2020-12-11,
,http://opendatacommunities.org/id/district-council/woking,,NSHLAASJT001,"Edbrooke House, 11-13 St John's Road, St John's, GU21 7SE",-0.595,51.312,http://www.woking2027.info/ldfregisters,0.04,not owned by a public authority,,pending decision,,,,,,,,Permission for 5 net additional homes (PLAN/2017/0774) has expired.,2017-12-20,2020-12-09,2020-12-10
,http://opendatacommunities.org/id/district-council/woking,,SHLAABWB012,"Library, 71 High Road, Byfleet, KT14 7QN",-0.475,51.339,http://www.woking2027.info/ldfregisters,0.13,owned by a public authority,,not permissioned,,,,,12,12,yes,Replacement library and community uses also required. Yield from draft Site Allocations DPD.,2017-12-20,2020-12-09,
,http://opendatacommunities.org/id/district-council/woking,,SHLAABWB022,"Land at Station Approach, West Byfleet KT14 6NG",-0.504,51.338,http://www.woking2027.info/ldfregisters,0.91,not owned by a public authority,,permissioned,outline planning permission,2017-12-21,,,208,255,yes,"Retail, community, office uses also required. The range of dwellings (208 - 255 is in accordance with the outline planning permission).",2017-12-20,2020-12-09,
,http://opendatacommunities.org/id/district-council/woking,,SHLAABWB024,"Camphill Club and Scout Hut, Camphill Road, West Byfleet KT14 6EF",-0.499,51.341,http://www.woking2027.info/ldfregisters,0.38,not owned by a public authority,,not permissioned,,,,,28,28,,Community use (re-provision of existing community facilities) also required. Yield from draft Site Allocations DPD.,2017-12-20,2020-12-09,
,http://opendatacommunities.org/id/district-council/woking,,SHLAABWB025,"1, 3, 5, 7, 9, 11, 13 and 15, Old Woking Road, West Byfleet, KT14 6LW",-0.504,51.338,http://www.woking2027.info/ldfregisters,0.14,not owned by a public authority,,permissioned,,,,,5,5,yes,Yield is from SHLAA (2017) (adjusted for partial implementation),2017-12-20,2020-12-16,
,http://opendatacommunities.org/id/district-council/woking,,SHLAABWB027,"Globe House, Lavender Park Road, West Byfleet KT14 6ND",-0.505,51.339,http://www.woking2027.info/ldfregisters,0.08,not owned by a public authority,,permissioned,full planning permission,2020-06-10,,,,,,Permission for 6 flats (PLAN/2016/0990) implemented.,2017-12-20,2020-12-09,2019-11-28
,http://opendatacommunities.org/id/district-council/woking,,SHLAABWB032,"3 Claremont Road, West Byfleet, KT14 6DY",-0.505,51.34,http://www.woking2027.info/ldfregisters,0.06,not owned by a public authority,,permissioned,full planning permission,2019-09-04,,,,,,Permission for 6 dwellings (PLAN/2017/0761) implemented.,2017-12-20,2020-12-09,2020-06-01
,http://opendatacommunities.org/id/district-council/woking,,SHLAACAN001,"Trizancia House and Woodstead House, 72 Chertsey Road, Woking, GU21 5BJ",-0.555,51.322,http://www.woking2027.info/ldfregisters,0.15,not owned by a public authority,,not permissioned,,,,,50,50,yes,"Office uses also required (net 4,000 sq.m). Yield from draft Site Allocations DPD.",2017-12-20,2020-12-09,
,http://opendatacommunities.org/id/district-council/woking,,SHLAACAN002,"The Cornerstone, The Broadway and Elizabeth House, Duke Street, Woking, GU21 5AS",-0.555,51.32,http://www.woking2027.info/ldfregisters,0.21,not owned by a public authority,,permissioned,full planning permission,2019-08-27,,,,,,Permission (PLAN/2019/0645) implemented.,2017-12-20,2020-12-10,2020-12-10
