point,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
,http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR1,"Land at Chorleywood Station, Chorleywood",-0.518149,51.653723,http://www.planvu.co.uk/trdc/,1.61,owned by a public authority,,not permissioned,,,,132,132,145,,Site put forward to Call for Sites (CFS16),2017-12-12,2020-12-01,
,http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR2,"Land at Park Road, High Street, Rickmansworth",-0.46728,51.641264,http://www.planvu.co.uk/trdc/,0.61,owned by a public authority,,not permissioned,,,,28,28,45,,Site put forward to Call for Sites (CFS40),2017-12-12,2020-12-01,
,http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR3A,"Rickmansworth Station Car Park, Rickmansworth",-0.473609,51.640411,http://www.planvu.co.uk/trdc/,0.11,owned by a public authority,,not permissioned,,,,9,9,10,,Site put forward to Call for Sites (CFS41),2017-12-12,2020-12-01,
,http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR3B,"Land at Rickmansworth Station, Rickmansworth",-0.473447,51.640067,http://www.planvu.co.uk/trdc/,0.31,owned by a public authority,,not permissioned,,,,24,24,27,,Site put forward to Call for Sites (CFS41),2017-12-12,2020-12-01,
,http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR4,"Kings Langley Employment Area, Kings Langley",-0.442518,51.713081,http://www.planvu.co.uk/trdc/,30.93,not owned by a public authority,,permissioned,full planning permission,2020-06-16,https://www3.threerivers.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PE86V3QF0D300|https://www3.threerivers.gov.uk/online-applications/applicationDetails.do?keyVal=OALWI7QF03N00&activeTab=summary|https://www3.threerivers.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=PW83YNQFGD700|https://www3.threerivers.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=PXYVH6QF0D100|https://www3.threerivers.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O7D71GQF04900|https://www3.threerivers.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O7D71GQF04900,134,134,190,yes,"Allocated housing site (H1). Planning permission has been granted for parts of the site; the extant permissions which have not yet started construction amount to 134 dwellings (16/1541/PDR - full planning permission, granted 2016-09-14; 18/1034/OUT - outline planning permission, granted 2019-08-15 19/1784/FUL - full planning permission, granted 2019-11-14; 19/1550/FUL).",2017-12-12,2020-12-01,
,http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR5,"Pin Wei, 35 High Street, Abbots Langley",-0.416329,51.706985,http://www.planvu.co.uk/trdc/,0.13,not owned by a public authority,,not permissioned,,,,10,10,12,,Allocated housing site (H3),2017-12-12,2020-12-01,
,http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR6,"Furtherfield Depot Furtherfield, Abbots Langley",-0.418633,51.699013,http://www.planvu.co.uk/trdc/,0.53,owned by a public authority,,not permissioned,,,,30,30,42,,Allocated housing site H(4),2017-12-12,2020-12-01,
,http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR7,"Hill Farm Industrial Estate, Hill Farm Avenue, Leavesden",-0.410019,51.694598,http://www.planvu.co.uk/trdc/,0.57,not owned by a public authority,,not permissioned,,,,30,30,46,,Allocated housing site (H6),2017-12-12,2020-12-01,
,http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR8,"Langleybury House/School, Langleybury",-0.442192,51.68887,http://www.planvu.co.uk/trdc/,1.97,not owned by a public authority,,not permissioned,,,,20,20,30,,This site is part of the Council's development brief for 'Langleybury and the Grove'. Part of site put forward to Call for Sites (CFS23). Planning application for temporary change of use of the site and buildings to film studios pending consideration at time of review (20/1697/RSP).. http://www.threerivers.gov.uk/egcl-page/langleybury-and-the-grove-development-brief,2017-12-12,2020-12-01,
,http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR9,"Royal British Legion, Church Lane, Sarratt",-0.492575,51.68121,http://www.planvu.co.uk/trdc/,0.15,not owned by a public authority,,not permissioned,,,https://www3.threerivers.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=MTOQYLQF08E00|https://www3.threerivers.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=PBSM53QFKIN00|https://www3.threerivers.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=PLTSYWQFM5400|https://www3.threerivers.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=OWMLL0QFHWY00,10,10,13,yes,Allocated rural exception site in Sarratt village (H8). Three applications have been withdrawn and one has been refused.,2017-12-12,2020-12-01,
,http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR10,"33 Baldwins Lane, Croxley Green",-0.431496,51.651753,http://www.planvu.co.uk/trdc/,0.09,not owned by a public authority,,not permissioned,,,http://www3.threerivers.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=K59ZX6QF03W00,10,10,13,,Allocated housing site (H9),2017-12-12,2020-12-01,
,http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR11,"Croxley Station Car Park and Timber Yard, Croxley Green",-0.440008,51.648017,http://www.planvu.co.uk/trdc/,1.45,owned by a public authority,,not permissioned,,,,87,87,116,,Site put forward to Call for Sites (CFS20),2017-12-12,2020-12-01,
,http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR12,"Police Station, Rectory Road, Rickmansworth",-0.477236,51.638705,http://www.planvu.co.uk/trdc/,0.29,not owned by a public authority,,not permissioned,,,http://www3.threerivers.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MVXQNAQF6W000|http://www3.threerivers.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MOOWKJQF00U00,20,20,28,,"Allocated housing site (H17). Police station has been demolished, however no planning application for residential development on the site has been received by the Council",2017-12-12,2020-12-01,
,http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR13,"Royal British Legion, Ebury Road, Rickmansworth",-0.471185,51.63859,http://www.planvu.co.uk/trdc/,0.08,not owned by a public authority,,not permissioned,,,,5,5,7,,Allocated housing site (H18),2017-12-12,2020-12-01,
