site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
Clarkes Yard,yes,,2020-01-04,,0.5,29,29,,local-authority-eng:DST,not owned by a public authority,2017-08-04,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,permissioned,outline planning permission,POINT(-2.31 50.93),LA/SNEW/010,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-SNEW-010
Former livestock market site & railway gardens,yes,,2020-01-04,,0.19,28,28,,local-authority-eng:DST,not owned by a public authority,2006-11-30,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,permissioned,reserved matters approval,POINT(-2.3 50.93),LA/SNEW/011,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-SNEW-011
Former Police Station Premises,yes,,2020-01-04,,0.05,7,4,,local-authority-eng:DST,not owned by a public authority,2016-12-21,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,permissioned,full planning permission,POINT(-1.97 50.61),LA/SWAN/009,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-SWAN-009
Former Gas Works,,,2020-01-04,yes,0.39,20,10,,local-authority-eng:DST,not owned by a public authority,,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,not permissioned,,POINT(-2.11 50.69),LA/WARE/007,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-WARE-007
Wareham Middle School,yes,,2020-01-04,,1.77,42,42,,local-authority-eng:DST,owned by a public authority,,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,not permissioned,,POINT(-2.12 50.68),LA/WARE/008,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-WARE-008
"Bus Depot, King Street",,,2020-01-04,,0.45,60,60,,local-authority-eng:DST,not owned by a public authority,,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,not permissioned,,POINT(-2.46 50.61),LA/WEYM/030,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-WEYM-030
"Harbourside Car Park, Commercial Road",,,2020-01-04,,0.3,25,25,,local-authority-eng:DST,owned by a public authority,,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,not permissioned,,POINT(-2.46 50.61),LA/WEYM/031,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-WEYM-031
Jubilee Sidings,,,2020-01-04,,2,80,80,,local-authority-eng:DST,not owned by a public authority,,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,not permissioned,,POINT(-2.46 50.62),LA/WEYM/032,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-WEYM-032
"Lakeside Superbowl, St Nicholas Street",yes,,2020-01-04,,0.38,30,30,,local-authority-eng:DST,not owned by a public authority,,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,not permissioned,,POINT(-2.46 50.61),LA/WEYM/033,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-WEYM-033
Land at Commercial Road (car park),,,2020-01-04,,0.35,28,28,,local-authority-eng:DST,owned by a public authority,,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,not permissioned,,POINT(-2.46 50.61),LA/WEYM/034,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-WEYM-034
Land at Governers Lane (car park),,,2020-01-04,,0.12,18,18,,local-authority-eng:DST,owned by a public authority,,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,not permissioned,,POINT(-2.45 50.61),LA/WEYM/035,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-WEYM-035
Post Office Sorting Office,,,2020-01-04,,0.96,64,64,,local-authority-eng:DST,not owned by a public authority,,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,not permissioned,,POINT(-2.46 50.61),LA/WEYM/036,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-WEYM-036
"The Loop Car Park, Commercial Road",,,2020-01-04,,0.3,24,24,,local-authority-eng:DST,owned by a public authority,,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,not permissioned,,POINT(-2.46 50.61),LA/WEYM/037,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-WEYM-037
"Weymouth Bowling Club, Commercial Road",,,2020-01-04,,0.39,32,32,,local-authority-eng:DST,owned by a public authority,,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,not permissioned,,POINT(-2.46 50.61),LA/WEYM/038,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-WEYM-038
Weymouth Railway Station Forecourt,,,2020-01-04,,0.54,18,18,,local-authority-eng:DST,not owned by a public authority,,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,not permissioned,,POINT(-2.45 50.62),LA/WEYM/039,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-WEYM-039
Land at Park Street (Car Park),,,2020-01-04,,0.43,50,50,,local-authority-eng:DST,owned by a public authority,,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,not permissioned,,POINT(-2.46 50.61),LA/WEYM/040,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-WEYM-040
"Council Offices, North Quay",yes,,2020-01-04,,0.6,72,72,,local-authority-eng:DST,owned by a public authority,,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,not permissioned,,POINT(-2.46 50.61),LA/WEYM/041,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-WEYM-041
"Former Oyster Farm, Ferrymans Way",,,2020-01-04,,0.5,30,30,,local-authority-eng:DST,not owned by a public authority,,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning/planning-application-search-and-comment.aspx,not permissioned,,POINT(-2.47 50.59),LA/WEYM/042,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/brownfield-land-register.aspx,2020-01-04,brownfield-land/local-authority-eng/DST/LA-WEYM-042
