site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
Model Dairy Farm,yes,,2018-09-30,,3.48,77,77,"Site included in the Housing Permissions - Not yet commenced - Reserved Matters application now approved (2017). Reserved Matters application for the erection of 77 dwellings with associated garaging, roads, landscaping and substation (amended description and amended plans received)",local-authority-eng:EST,not owned by a public authority,2017-10-17,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,reserved matters approval,POINT(-1.608229 52.794702),ESBC-BR36,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29,brownfield-land/local-authority-eng/EST/ESBC-BR36
Land adjacent to Eastfield Uttoxeter,,,2018-09-30,,0.17,25,25,Site included in the Housing Permissions previously but has since expired due to non commencement. Erection of a detached building to form 24 sheltered accommodation apartments for the elderly with 1 apartment for warden accommodation,local-authority-eng:EST,not owned by a public authority,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,Not Permissioned,,POINT(-1.861792 52.89941),ESBC-BR37,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29,brownfield-land/local-authority-eng/EST/ESBC-BR37
Sovereign House Bond Street,yes,,2018-09-30,,0.07,8,8,Site included in the Housing Permissions - Under Construction but no residential completions on site yet. Prior Approval for the change of use from office use (Class B1) to form 8 apartments (Class C3),local-authority-eng:EST,not owned by a public authority,2017-04-12,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,other,POINT(-1.632339 52.798699),ESBC-BR39,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2018-09-30,brownfield-land/local-authority-eng/EST/ESBC-BR39
70 Guild Street Burton upon Trent,yes,,2018-09-30,,0.06,7,7,"Site included in the Housing Permissions - Under Construction but no residential completions on site yet. Demolition of existing outbuildings to facilitate the conversion of existing Class A1 (shop), Class B1 (Business) and dwelling house on first floor to form 7 dwellings comprising 5 No. two bedroom units and 2 No. one bedroom units.",local-authority-eng:EST,not owned by a public authority,2017-09-01,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,full planning permission,POINT(-1.632801 52.805523),ESBC-BR40,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2018-09-30,brownfield-land/local-authority-eng/EST/ESBC-BR40
67-69 Main Street Stapenhill,yes,,2018-09-30,,0.11,6,6,Site included in the Housing Permissions - Not yet commenced. Outline application for the demolition of numbers 67-69 Main Street including garages to facilitate the erection of up to 6 dwellings ( All Matters Reserved),local-authority-eng:EST,not owned by a public authority,2017-08-23,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,outline planning permission,POINT(-1.623607 52.793116),ESBC-BR41,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2018-09-30,brownfield-land/local-authority-eng/EST/ESBC-BR41
Adjacent 89 Rosliston Road Stapenhill,yes,,2018-09-30,,0.45,25,25,"Site included in the Housing Permissions - Under Construction but no residential completions on site yet. Demolition of existing outbuildings and erection of 25 Affordable Homes comprising 5 pairs of semi-detached dwellings, 11 terraced dwellings and a detached building comprising 4 flats and construction of vehicular access",local-authority-eng:EST,not owned by a public authority,2017-09-18,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,full planning permission,POINT(-1.625972 52.785374),ESBC-BR42,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2018-09-30,brownfield-land/local-authority-eng/EST/ESBC-BR42
180 Horninglow Street,yes,,2018-09-30,,0.06,7,7,"Site included in the Housing Permissions - Not yet commenced. Conversion of offices to form 7 apartments including the replacement of a side door with a full length window, a side window with a door and 2 small side windows and with a single window",local-authority-eng:EST,not owned by a public authority,2017-11-03,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,full planning permission,POINT(-1.627831 52.807261),ESBC-BR43,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2018-09-30,brownfield-land/local-authority-eng/EST/ESBC-BR43
Land Adjacent To Grange Close Burton upon Trent,yes,,2018-09-30,,0.18,8,8,Site included in the Housing Permissions - Not yet commenced. Demolition of existing garages to facilitate the erection of 8 dwellings comprising of four pairs of semi detached dwellings with associated car parking,local-authority-eng:EST,not owned by a public authority,2017-10-10,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,full planning permission,POINT(-1.645382 52.810776),ESBC-BR44,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2018-09-30,brownfield-land/local-authority-eng/EST/ESBC-BR44
Burton Enterprise Centre,yes,,2018-09-30,,0.25,25,25,Site included in the Housing Permissions - Not yet commenced. Prior Approval for the change of use from office use (Class B1a) to form 25 dwellings (Class C3),local-authority-eng:EST,not owned by a public authority,2017-10-31,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,other,POINT(-1.643003 52.809618),ESBC-BR45,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2018-09-30,brownfield-land/local-authority-eng/EST/ESBC-BR45
County Court Building Burton Upon Trent,yes,,2018-09-30,,0.1,9,9,"Site included in the Housing Permissions - Under Construction but no residential completions on site yet. Conversion of part of the existing buildings into 9 self-contained residential apartments, including the formation of a new vehicular access",local-authority-eng:EST,not owned by a public authority,2017-12-01,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,full planning permission,POINT(-1.633508 52.804258),ESBC-BR46,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2018-09-30,brownfield-land/local-authority-eng/EST/ESBC-BR46
The Maltings Wetmore Road,yes,,2018-09-30,,3.6,90,90,"Site included in the Housing Permissions - Not yet commenced. Conversion and alterations of existing Transport Office to form two flats, conversion of existing Security Office to form one flat, conversion of storage/office building to provide 87 flatsr",local-authority-eng:EST,not owned by a public authority,2017-12-22,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,full planning permission,POINT(-1.627455 52.809687),ESBC-BR47,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2018-09-30,brownfield-land/local-authority-eng/EST/ESBC-BR47
"4a, 5a and 6a Market Place Burton upon Trent",yes,,2018-09-30,,0.05,6,6,Site included in the Housing Permissions - Under Construction but no residential completions on site yet. Conversion of three existing apartments into 6 apartments on first and second and third floors,local-authority-eng:EST,not owned by a public authority,2018-02-09,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,full planning permission,POINT(-1.630385 52.801731),ESBC-BR48,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2018-09-30,brownfield-land/local-authority-eng/EST/ESBC-BR48
63 New Street Burton upon Trent,yes,,2018-09-30,,0.08,6,6,"Site included in the Housing Permissions - Not yet commenced. Change of use of public house and flats to two retail units, five apartments and erection of a dwelling",local-authority-eng:EST,not owned by a public authority,2018-03-23,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,full planning permission,POINT(-1.636733 52.801823),ESBC-BR49,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2018-09-30,brownfield-land/local-authority-eng/EST/ESBC-BR49
11-12 Tutbury Road Burton upon Trent,yes,,2018-09-30,,0.08,10,10,"Site included in the Housing Permissions - Not yet commenced. Demolition of existing building to facilitate an outline application for erection of two buildings to form 10 apartments including details of access, appearance, layout and scale",local-authority-eng:EST,not owned by a public authority,2018-06-15,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,outline planning permission,POINT(-1.648531 52.825006),ESBC-BR50,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2018-09-30,brownfield-land/local-authority-eng/EST/ESBC-BR50
Former Burton Adult Training Centre,yes,,2018-09-30,,0.53,26,26,Site included in the Housing Permissions - Not yet commenced. Demolish existing building and construct scheme of 26 new dwellings with associated access,local-authority-eng:EST,not owned by a public authority,2018-09-24,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,full planning permission,POINT(-1.652682 52.806824),ESBC-BR51,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2018-09-30,brownfield-land/local-authority-eng/EST/ESBC-BR51
Molson Coors South Brewery,yes,,2018-12-01,,2.37,100,100,,local-authority-eng:EST,not owned by a public authority,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,Not Permissioned,,POINT(-1.63704 52.804089),ESBC-BR52,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2018-12-01,brownfield-land/local-authority-eng/EST/ESBC-BR52
