site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"198 & 200 Woodstock Road, Yarnton",yes,,2019-10-30,,0.31,0,0,,local-authority-eng:CHR,not owned by a public authority,2019-01-17,https://planningregister.cherwell.gov.uk/Search,permissioned,full planning permission,POINT(-1.313193 51.814714),BLR58,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2019-10-30,brownfield-land/local-authority-eng/CHR/BLR58
Site Name Address,yes,,,,,,,Notes,,Ownership Status,,,Planning Status,Permission Type,,Site Reference,,,
"The Tally Ho Inn, 45 Ploughley Road, Arncott",yes,,2019-10-30,,0.4,0,0,The permission has been superseded by 19/00933/F which is change of use from hotel (C1) to residential training institute (C2).,local-authority-eng:CHR,not owned by a public authority,2017-08-14,https://www.publicaccess.cherwell.gov.uk/online-applications/,permissioned,full planning permission,POINT(-1.115313 51.857422),BLR1,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04,brownfield-land/local-authority-eng/CHR/BLR1
"15 - 16 South Bar Street, Banbury",yes,,2019-10-30,,0.02,0,0,Development has commenced on site,local-authority-eng:CHR,not owned by a public authority,2018-02-13,https://www.publicaccess.cherwell.gov.uk/online-applications/,permissioned,full planning permission,POINT(-1.340042 52.058863),BLR3,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04,brownfield-land/local-authority-eng/CHR/BLR3
"60 - 62 Broad Street, Banbury",yes,,2019-10-30,,0.06,0,0,Development has commenced on site,local-authority-eng:CHR,not owned by a public authority,2017-04-24,https://www.publicaccess.cherwell.gov.uk/online-applications/,permissioned,full planning permission,POINT(-1.335005 52.06111),BLR6,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04,brownfield-land/local-authority-eng/CHR/BLR6
"The Unicorn, Market Place, Banbury",yes,,2019-10-30,,0.04,0,0,Development has commenced on site,local-authority-eng:CHR,not owned by a public authority,2017-01-24,https://www.publicaccess.cherwell.gov.uk/online-applications/,permissioned,full planning permission,POINT(-1.336097 52.062267),BLR18,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04,brownfield-land/local-authority-eng/CHR/BLR18
"Garage Block Rear Of 52 To 58 Bucknell Road, Bicester",yes,,2019-10-30,,0.1,0,0,Permission superseded by 18/00102/F which was completed in September 2018 (2018/19).,local-authority-eng:CHR,not owned by a public authority,2016-09-19,https://www.publicaccess.cherwell.gov.uk/online-applications/,permissioned,full planning permission,POINT(-1.159906 51.904943),BLR21,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04,brownfield-land/local-authority-eng/CHR/BLR21
"The George And Dragon, 15 East Street, Fritwell",,,2019-10-30,,0.15,0,0,Development has commenced on site,local-authority-eng:CHR,not owned by a public authority,2017-11-15,https://www.publicaccess.cherwell.gov.uk/online-applications/,permissioned,full planning permission,POINT(-1.23275 51.960043),BLR25,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04,brownfield-land/local-authority-eng/CHR/BLR25
"65 Oxford Road, Kidlington",yes,,2019-10-30,,0.1,0,0,The site was completed in March 2018 (2017/18).,local-authority-eng:CHR,not owned by a public authority,2017-02-24,https://www.publicaccess.cherwell.gov.uk/online-applications/,permissioned,full planning permission,POINT(-1.28632 51.820632),BLR27,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04,brownfield-land/local-authority-eng/CHR/BLR27
"Tyre Depot, South of Cassington Road, Yarnton",yes,,2019-10-30,,0.9,0,0,The application was withdrawn. Commercial uses implemented.,local-authority-eng:CHR,not owned by a public authority,,,Not permissioned,,POINT(-1.305978 51.803684),BLR32,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04,brownfield-land/local-authority-eng/CHR/BLR32
"Gosford Hill Court, Bicester Road, Kidlington",yes,,2019-10-30,,0.26,0,0,The site was completed in June 2018 (2018/19).,local-authority-eng:CHR,not owned by a public authority,2017-12-28,https://www.publicaccess.cherwell.gov.uk/online-applications/,permissioned,full planning permission,POINT(-1.277323 51.817142),BLR33,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2018-12-03,brownfield-land/local-authority-eng/CHR/BLR33
"Akeman Spinney, Heyford Road, Kirtlington",yes,,2019-10-30,,0.56,0,0,Development has commenced on site,local-authority-eng:CHR,not owned by a public authority,2017-12-19,https://www.publicaccess.cherwell.gov.uk/online-applications/,permissioned,full planning permission,POINT(-1.274143 51.879557),BLR34,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2018-12-03,brownfield-land/local-authority-eng/CHR/BLR34
"Garage Blocks Rear Of Mold Crescent Penrose Drive, Banbury",yes,,2019-10-30,,0.17,0,0,The site was completed in March 2019 (2018/19).,local-authority-eng:CHR,not owned by a public authority,2017-05-30,https://www.publicaccess.cherwell.gov.uk/online-applications/,permissioned,full planning permission,POINT(-1.32322 52.065898),BLR36,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2018-12-03,brownfield-land/local-authority-eng/CHR/BLR36
"Garage Block Opposite 5 Penrhyn Close, Banbury",yes,,2019-10-30,,0.09,0,0,Development has commenced on site,local-authority-eng:CHR,not owned by a public authority,2017-12-01,https://www.publicaccess.cherwell.gov.uk/online-applications/,permissioned,full planning permission,POINT(-1.368499 52.067084),BLR37,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2018-12-03,brownfield-land/local-authority-eng/CHR/BLR37
"Garage Block 1 Rear Of 214 To 226 Bretch Hill, Banbury",yes,,2019-10-30,,0.17,0,0,Development has commenced on site,local-authority-eng:CHR,not owned by a public authority,2018-02-14,https://www.publicaccess.cherwell.gov.uk/online-applications/,permissioned,full planning permission,POINT(-1.364231 52.060444),BLR38,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2018-12-03,brownfield-land/local-authority-eng/CHR/BLR38
"78 Bicester Road, Kidlington",yes,,2019-10-30,,0.09,0,0,Development has commenced on site,local-authority-eng:CHR,not owned by a public authority,2017-07-05,https://www.publicaccess.cherwell.gov.uk/online-applications/,permissioned,full planning permission,POINT(-1.275175 51.817201),BLR41,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2018-12-03,brownfield-land/local-authority-eng/CHR/BLR41
