site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
Site at 22 Common Road Stock,yes,,2019-04-15,,0.3,,,,local-authority-eng:CHL,not owned by a public authority,2018-12-05,,permissioned,full planning permission,POINT(0.449799 51.66428),18/00719/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-04-15
Site at Lammas Cottage High Street Stock Chelmsford,yes,,2019-04-15,,0.25,,,,local-authority-eng:CHL,not owned by a public authority,2018-05-29,,permissioned,full planning permission,POINT(0.437414 51.66175),18/00538/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-04-15
ACIT Solutions Ltd Barn One Brock Farm Ingatestone Road Stock,yes,,2019-04-15,,0.03,,,,local-authority-eng:CHL,not owned by a public authority,2018-08-07,,permissioned,other,POINT(0.419421 51.657329),18/01028/CUPAO,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-04-15
Units 3 & 4 adjacent Heathfield Dowsett Lane Ramsden Heath,yes,,2019-04-15,,0.14,,,,local-authority-eng:CHL,not owned by a public authority,2017-09-07,,permissioned,full planning permission,POINT(0.47004 51.647983),17/01263/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-04-15
Flat 6 Guild Way South Woodham Ferrers,yes,,2019-04-15,,0.02,,,,local-authority-eng:CHL,not owned by a public authority,2018-12-06,,permissioned,full planning permission,POINT(0.616839 51.644145),18/01158/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-04-15
14 King Edwards Road South Woodham Ferrers Chelmsford,yes,31/03/2020,2019-04-15,,0.02,,,,local-authority-eng:CHL,not owned by a public authority,2017-10-31,,permissioned,full planning permission,POINT(0.608597 51.650885),17/01576/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-04-15
46 Reeves Way South Woodham Ferrers Chelmsford,yes,,2019-04-15,,0.01,,,,local-authority-eng:CHL,not owned by a public authority,2018-01-10,,permissioned,full planning permission,POINT(0.618734 51.644922),17/01966/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-04-15
213 Hullbridge Road South Woodham Ferrers,yes,,2019-04-15,,0.05,,,,local-authority-eng:CHL,not owned by a public authority,2018-03-14,,permissioned,full planning permission,POINT(0.612588 51.639339),17/01745/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-04-15
Site at 74 Hullbridge Road South Woodham Ferrers Chelmsford,yes,,2019-04-15,,0.06,,,,local-authority-eng:CHL,not owned by a public authority,2017-03-10,,permissioned,full planning permission,POINT(0.608207 51.630002),16/01845/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-04-15
Site at 2 Tower Road Writtle Chelmsford,yes,,2019-04-15,,0.06,,,,local-authority-eng:CHL,not owned by a public authority,2019-03-19,,permissioned,full planning permission,POINT(0.608207 51.630002),18/01977/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-04-15
30 The Green Writtle Chelmsford,yes,,2019-04-15,,0.04,,,,local-authority-eng:CHL,not owned by a public authority,2018-08-24,,permissioned,full planning permission,POINT(0.427677 51.730856),18/01100/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-04-15
Land East of 26 The Coverts Writtle Chelmsford,yes,,2019-04-15,,0.02,,,,local-authority-eng:CHL,not owned by a public authority,2016-11-21,,permissioned,full planning permission,POINT(0.424925 51.728422),16/01678/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2019-04-15
