site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
Tented Market,,,2020-12-23,,0.14,0,0,"s0101 - S/15/2017 | Demolition of existing and erection of a two story buildings with retail (A1) and food & drink (A3) units. Permission granted on appeal.Ref. : S/15/2017Decision Issued Date: 16/06/2016Demolition of existing tented market and erection of a 12 storey building comprising 101no. Flats, 4no. Class A3 (Food and Drink) units, 1no. Class A1 (Shop) unit. Application granted permission subject to S106 and conditions at October 2017 Planning CommitteeRef. : S/17/0673Decision Issued Date: Pending.",local-authority-eng:SWD,not owned by a public authority,2016-11-09,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NYTT2FPTFMJ00,permissioned,full planning permission,POINT(-1.787231 51.562094),s0101,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NYTT2FPTFMJ00,2017-12-31,brownfield-land/local-authority-eng/SWD/s0101
Thornhill Industrial Estate,yes,,2020-12-23,,5.09,0,0,s0111 - S/OUT/14/2059 | Application withdrawn 15/05/2018,local-authority-eng:SWD,not owned by a public authority,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,,POINT(-1.785588 51.562884),s0111,https://pa1.swindon.gov.uk/publicaccess/,2017-12-31,brownfield-land/local-authority-eng/SWD/s0111
Site of disused retail units on Devizes Road,yes,,2020-12-23,,0.08,5,5,s0113 - s0113 | No Recent Planning History,local-authority-eng:SWD,not owned by a public authority,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,,POINT(-1.782885 51.562069),s0113,https://pa1.swindon.gov.uk/publicaccess/,2017-12-31,brownfield-land/local-authority-eng/SWD/s0113
Sites of garages on Perrys Lane,yes,,2020-12-23,,0.11,5,5,s0115 - S/99/2654 | Erection of 3no. four-bedroom houses with double garages (Outline). Application refused 04/04/2000,local-authority-eng:SWD,not owned by a public authority,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,,POINT(-1.782989 51.561682),s0115,https://pa1.swindon.gov.uk/publicaccess/,2017-12-31,brownfield-land/local-authority-eng/SWD/s0115
Second Floor Fleetway House 55 - 58 Fleet Street Swindon,yes,,2020-12-23,,0.18,12,12,s0120 - S/17/0144 | Change of use of second floor to Residential (Class C3) to provide 12 no. flats with external alterations.Ref. : S/17/0144Decision Issued Date: 28/06/2017,local-authority-eng:SWD,not owned by a public authority,2017-06-28,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OKA11NPTKV900,permissioned,full planning permission,POINT(-1.787929 51.564088),s0120,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OKA11NPTKV900,2018-12-31,brownfield-land/local-authority-eng/SWD/s0120
"39-45 Fleet Street, Swindon",,,2020-12-23,,0.08,16,16,s0122 - s0122 | No Recent Planning History,local-authority-eng:SWD,not owned by a public authority,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,,POINT(-1.786559 51.56595),s0122,https://pa1.swindon.gov.uk/publicaccess/,2018-12-31,brownfield-land/local-authority-eng/SWD/s0122
"Falcon House, Fleming Way Car Park, Debenhams and 17 The Parade",yes,,2020-12-23,,0.85,90,90,s0125 - S/PRIORC/18/1013 | Prior notification application for the change of use from office (Class B1a) to 90no. apartments (Class C3).,local-authority-eng:SWD,not owned by a public authority,2018-07-26,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PA7RKPPT0FL00,permissioned,other,POINT(-1.78102 51.560219),s0125,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PA7RKPPT0FL00,2018-12-31,brownfield-land/local-authority-eng/SWD/s0125
One Sanford Street,yes,2020-12-23,2020-12-23,,0.14,12,12,s0126 - S/17/1109 | Erection of a roof extension to create 2 additional floors containing 12no. flats.Ref. : S/PRIORC/17/0003Decision Issued Date: 21/02/2017Erection of a roof extension to create 2 additional floors containing 12 no. flats. Application is ongoing. Ref. : S/17/1109Decision Issued Date: Pending,local-authority-eng:SWD,not owned by a public authority,2017-11-23,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OSCXADPTG5Q00,permissioned,full planning permission,POINT(-1.786966 51.559281),s0126,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OSCXADPTG5Q00,2018-12-31,brownfield-land/local-authority-eng/SWD/s0126
Swindon Station Car Park (South),,,2020-12-23,,1.84,160,160,s0128 - s0128 | No Recent Planning History,local-authority-eng:SWD,not owned by a public authority,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,,POINT(-1.785977 51.565051),s0128,https://pa1.swindon.gov.uk/publicaccess/,2018-12-31,brownfield-land/local-authority-eng/SWD/s0128
Swindon Station Car Park (North),,,2020-12-23,,0.52,52,52,s0129 - s0129 | No Recent Planning History,local-authority-eng:SWD,not owned by a public authority,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,,POINT(-1.772942 51.551092),s0129,https://pa1.swindon.gov.uk/publicaccess/,2018-12-31,brownfield-land/local-authority-eng/SWD/s0129
Princes Street Car Park,,,2020-12-23,,0.34,17,17,s0132 - s0132 | No Recent Planning History,local-authority-eng:SWD,not owned by a public authority,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,,POINT(-1.784969 51.562757),s0132,https://pa1.swindon.gov.uk/publicaccess/,2018-12-31,brownfield-land/local-authority-eng/SWD/s0132
Commercial Road Car Park,,,2020-12-23,,0.05,10,10,s0133 - s0133 | No Recent Planning History,local-authority-eng:SWD,not owned by a public authority,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,,POINT(-1.781744 51.560406),s0133,https://pa1.swindon.gov.uk/publicaccess/,2018-12-31,brownfield-land/local-authority-eng/SWD/s0133
Signal Point,,,2020-12-23,,0.43,,,s0140 - S/18/1474 | Change of use of part of ground and first floors from B1(a) (Business) to A3 (Cafe/Restaurant).,local-authority-eng:SWD,not owned by a public authority,2018-11-20,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PEC1UAPTIF300,permissioned,full planning permission,POINT(-1.78147 51.559569),s0140,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PEC1UAPTIF300,2018-12-31,brownfield-land/local-authority-eng/SWD/s0140
"Locarno, Dammas Lane Car Park and The Planks Car Park",yes,,2020-12-23,,0.46,115,115,"s0142 - S/07/2805 | Redevelopment including the partial demolition, change of use and restoration of The Locarno and Old Town Hall buildings, the erection of extensions and new buildings, plus the provision of 3 no. units for mixed Class A3/ Class A4 use, outdoor seating areas in association with those uses, Registry of Births, Deaths and Marriages (Class B1), 115 no. apartments, car parking, access and landscaping works.",local-authority-eng:SWD,not owned by a public authority,2008-09-08,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=JS3UTTPT04V00,permissioned,full planning permission,POINT(-1.790782 51.562985),s0142,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=JS3UTTPT04V00,2018-12-31,brownfield-land/local-authority-eng/SWD/s0142
The Parade Multistorey Car Park,,,2020-12-23,,0.18,36,36,s0146 - s0146 | No Recent Planning History,local-authority-eng:SWD,not owned by a public authority,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,,POINT(-1.77708 51.553079),s0146,https://pa1.swindon.gov.uk/publicaccess/,2018-12-31,brownfield-land/local-authority-eng/SWD/s0146
Former Wyvern Multistorey Car Park,yes,,2020-12-23,,0.19,38,38,s0147 - S/DEM/15/0737 | Prior Notification for the proposed demolition of multi-storey car park. Prior Approval required and given 04/06/2015Ref. : S/DEM/15/0737Decision Issued Date: 04/06/2015,local-authority-eng:SWD,not owned by a public authority,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,,POINT(-1.776215 51.553607),s0147,https://pa1.swindon.gov.uk/publicaccess/,2018-12-31,brownfield-land/local-authority-eng/SWD/s0147
Wyvern Theatre and Car Park,,,2020-12-23,,0.33,46,46,s0148 - s0148 | Erection of a new roof over existing roof terrace and walkways. Permission has been granted 28/02/2014Ref. : S/SP/13/1910Decision Issued Date: 28/02/2014,local-authority-eng:SWD,not owned by a public authority,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,,POINT(-1.775528 51.553553),s0148,https://pa1.swindon.gov.uk/publicaccess/,2018-12-31,brownfield-land/local-authority-eng/SWD/s0148
The Carriage Works,yes,,2020-12-23,,1.52,0,0,"s0150 - S/LBC/16/1807 | Refurbishment of the existing carriage works for use as office (Class B1) use and associated works including partial demolition, alterations and new access from London Street. Permission has been granted.Ref. : S/16/1806 & S/LBC/16/1807Decision Issued Date: 03/02/2017",local-authority-eng:SWD,not owned by a public authority,2017-02-03,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OEZLJJPTJJ900,permissioned,full planning permission,POINT(-1.786688 51.562849),s0150,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OEZLJJPTJJ900,2018-12-31,brownfield-land/local-authority-eng/SWD/s0150
Swindon Advertiser Offices,yes,,2020-12-23,,0.1,24,24,s0156 - S/19/0442 | Demolition of rear ground floor office space and erection of five storey extension and third floor extension to existing building to provide an additional 24no. apartments,local-authority-eng:SWD,not owned by a public authority,2019-10-24,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=POEMNDPTMYK00,permissioned,full planning permission,POINT(-1.78608 51.562096),s0156,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=POEMNDPTMYK00,2018-12-31,brownfield-land/local-authority-eng/SWD/s0156
"Land South of Church Road, Old Town",yes,,2020-12-23,,0.07,19,19,"s0157 - S/06/2316 | Demolition of existing garages and print works and the erection of new building to facilitate the provision of 19 no. apartments (Class C3) with vehicular access, car parking, cycle parking, landscaping and associated works.",local-authority-eng:SWD,not owned by a public authority,2007-05-17,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=J5MSE8PTE9000,permissioned,full planning permission,POINT(-1.780953 51.559364),s0157,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=J5MSE8PTE9000,2018-12-31,brownfield-land/local-authority-eng/SWD/s0157
"Pope Bros Builders Yard, Cricklade Street",yes,,2020-12-23,,0.12,12,12,"s0158 - S/18/0447 | Demolition of existing workshops and erection of 10no. dwellings, conversion of existing store to provide 2no. dwellings",local-authority-eng:SWD,not owned by a public authority,2019-11-26,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=P5KUAUPT0EE00,permissioned,full planning permission,POINT(-1.714859 51.63348),s0158,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=P5KUAUPT0EE00,2018-12-31,brownfield-land/local-authority-eng/SWD/s0158
20 Fleet Street,yes,,2020-12-23,,0.05,10,10,s0168 - s0168 | No Recent Planning History,local-authority-eng:SWD,not owned by a public authority,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,,POINT(-1.779918 51.582454),s0168,https://pa1.swindon.gov.uk/publicaccess/,2018-12-31,brownfield-land/local-authority-eng/SWD/s0168
32-34 Bridge Street,yes,,2020-12-23,,0.03,6,6,s0170 - s0170 | No Recent Planning History,local-authority-eng:SWD,not owned by a public authority,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,,POINT(-1.78206 51.590188),s0170,https://pa1.swindon.gov.uk/publicaccess/,2018-12-31,brownfield-land/local-authority-eng/SWD/s0170
Theatre Square,,,2020-12-23,,0.41,21,21,s0171 - s0171 | No Recent Planning History,local-authority-eng:SWD,not owned by a public authority,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,,POINT(-1.77729 51.595747),s0171,https://pa1.swindon.gov.uk/publicaccess/,2018-12-31,brownfield-land/local-authority-eng/SWD/s0171
"Land to the east of Newburgh Place, in front of Tesco Express",,,2020-12-23,,0.97,36,36,s0183 - s0183 | Change of use from a Class A1 Retail to Class D1 Clinic. Variation of condition 3 from previous. Permission has been granted permission S/13/0025 regarding opening hours).Ref. : S/14/1956Decision Issued Date: 07/01/2015Application for the erection of a single storey side extension. Permission has been granted.Ref. : S/16/0076Decision Issued Date: 18/03/2016,local-authority-eng:SWD,not owned by a public authority,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,,POINT(-1.805642 51.577173),s0183,https://pa1.swindon.gov.uk/publicaccess/,2018-12-31,brownfield-land/local-authority-eng/SWD/s0183
Land at Pinehurst Road inside 'The Circle',,,2020-12-23,,0.5,19,19,s0191 - s0191 | No Recent Planning History,local-authority-eng:SWD,not owned by a public authority,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,,POINT(-1.806867 51.580833),s0191,https://pa1.swindon.gov.uk/publicaccess/,2018-12-31,brownfield-land/local-authority-eng/SWD/s0191
In front of 68 Oaksey Road,,,2020-12-23,,0.19,7,7,s0204 - s0204 | No Recent Planning History,local-authority-eng:SWD,not owned by a public authority,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,,POINT(-1.78152 51.59731),s0204,https://pa1.swindon.gov.uk/publicaccess/,2018-12-31,brownfield-land/local-authority-eng/SWD/s0204
Groundwell Park and Ride,yes,,2020-12-23,,1.7,0,0,s0239 - s0239 | No Recent Planning History,local-authority-eng:SWD,not owned by a public authority,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,,POINT(-1.730629 51.548034),s0239,https://pa1.swindon.gov.uk/publicaccess/,2018-12-31,brownfield-land/local-authority-eng/SWD/s0239
Manor Garden Centre and surrounding,,,2020-12-23,,3.3,124,124,s0245 - s0245 | No Recent Planning History,local-authority-eng:SWD,not owned by a public authority,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,,POINT(-1.782509 51.538807),s0245,https://pa1.swindon.gov.uk/publicaccess/,2018-12-31,brownfield-land/local-authority-eng/SWD/s0245
Garage block east of Greenhill Road,,,2020-12-23,,0.2,8,8,s0246 - s0246 | No Recent Planning History,local-authority-eng:SWD,not owned by a public authority,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,,POINT(-1.807993 51.570172),s0246,https://pa1.swindon.gov.uk/publicaccess/,2018-12-31,brownfield-land/local-authority-eng/SWD/s0246
Garages at Wingfield Ave,,,2020-12-23,,0.23,9,9,s0264 - s0264 | No Recent Planning History,local-authority-eng:SWD,not owned by a public authority,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,,POINT(-1.782501 51.602264),s0264,https://pa1.swindon.gov.uk/publicaccess/,2018-12-31,brownfield-land/local-authority-eng/SWD/s0264
