site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
"Providence House, 2 Bartley Wood Business Park, Bartley Way, Hook, Hampshire, RG27 9XA",yes,20/11/2019,2018-12-20,,1.69,109,107,Construction of two additional one bedroom flats within Providence House. Previous approval 16/00883/PRIOR for Change of use from B1 to C3 (107 dwgs) granted 2016-05-24. 107 dwgs complete at April 2019 with the additional 2 under construction.,local-authority-eng:HAT,not owned by a public authority,2017-12-19,,permissioned,other,POINT(-0.917354 51.28749),17/02465/FUL,https://publicaccess.hart.gov.uk/online-applications/,2017-12-22
"Winchfield Lodge, Old Potbridge Road, Winchfield, Hook, Hampshire, RG27 8BT",yes,20/11/2019,2017-12-22,,0.98,16,16,Conversion from B1 (office) to 4 residential dwellings plus the erection of 12 additional dwellings. Under construction at April 2019.,local-authority-eng:HAT,not owned by a public authority,2013-12-03,,permissioned,full planning permission,POINT(-0.917354 51.28749),13/00720/MAJOR,https://publicaccess.hart.gov.uk/online-applications/,2017-12-22
"Lamb Hotel, High Street, Hartley Wintney, Hook, Hampshire, RG27 8NW",,20/11/2019,2017-12-22,,0.25,11,11,"Conversion and extension of existing hotel buildings to form offices, retail unit, one 2-bedroom flat, one 4-bedroom house and one 3-bedroom house and the erection of one 3-bedroom house, six 2-bedroom houses and one 1-bedroom flat. Development under construction at April 2019 (new build complete).",local-authority-eng:HAT,not owned by a public authority,2013-09-23,,permissioned,full planning permission,POINT(-0.899212 51.307383),13/01215/MAJOR,https://publicaccess.hart.gov.uk/online-applications/,2017-12-22
"Rose Court, Rye Common Lane, Crondall, Farnham, GU10 5DD",,20/11/2019,2017-12-22,,0.3,14,14,"Demolition of office building, car parking and hard standing and erection of new building to create 14 x 2 bed apartments. Development complete at April 2019.",local-authority-eng:HAT,not owned by a public authority,2015-09-10,,permissioned,full planning permission,POINT(-0.878382 51.246721),15/01083/FUL,https://publicaccess.hart.gov.uk/online-applications/,2017-12-22
"Land Rear Of, 102-108 Fleet Road, Fleet, Hampshire, GU51 4PA",,20/11/2019,2017-12-22,,0.09,12,12,Reserved matters 15/00276/REM granted for demolition of existing storage buildings and erection of a single block containing 10 x 1-bed & 2 x 2-bed residential flats. Development complete at April 2019.,local-authority-eng:HAT,not owned by a public authority,2015-07-01,,permissioned,reserved matters approval,POINT(-0.840724 51.2828),14/00106/MAJOR,https://publicaccess.hart.gov.uk/online-applications/,2017-12-22
"Pioneer House, Unit 2 Fleetwood Park, Barley Way, Fleet, Hampshire",yes,20/11/2019,2017-12-22,,0.48,33,33,Conversion of the building into 33 residential units. Application lapsed 2018-10-14.,local-authority-eng:HAT,not owned by a public authority,2015-10-14,,permissioned,full planning permission,POINT(-0.831667 51.298456),15/01540/FUL,https://publicaccess.hart.gov.uk/online-applications/,2017-12-22
"Oak House, Harvest Crescent, Fleet, Hampshire, GU51 2QW",,,2017-12-22,,0.61,31,14,To create 14 new flats on the second floor of Oak House. Previous approval 16/01445/PRIOR for Change of use from offices (Class B1a) to form 31 apartments granted 2016-07-26.,local-authority-eng:HAT,not owned by a public authority,2016-11-14,,permissioned,full planning permission,POINT(-0.82585 51.298164),16/01441/FUL,https://publicaccess.hart.gov.uk/online-applications/,2017-12-22
"White Hart House, London Road, Blackwater, Camberley, Surrey, GU17 9AD",,21/11/2019,2017-12-22,,0.16,23,5,Construction of a new 3rd floor for 5 apartments. Previous approval 16/03072/PRIOR for Change of use of 1st and 2nd floors from B1(a) to 18 dwellings granted 2017-01-19. Development complete at April 2019.,local-authority-eng:HAT,not owned by a public authority,2017-09-07,,permissioned,full planning permission,POINT(-0.777384 51.331569),17/00530/FUL,https://publicaccess.hart.gov.uk/online-applications/,2017-12-22
"Land To The Rear Of, Acorn House, Elms Road, Hook, Hampshire, RG27 9DU",yes,,2017-12-22,,0.18,5,5,Erection of 5 dwellings,local-authority-eng:HAT,not owned by a public authority,2017-08-18,,permissioned,full planning permission,POINT(-0.962391 51.283276),17/01111/FUL,https://publicaccess.hart.gov.uk/online-applications/,2017-12-22
"Fleet Autos, St James Road, Fleet, Hampshire, GU51 3YX",yes,21/11/2019,2017-12-22,,0.05,5,5,"Residential development to provide five residential units, comprising 1 studio unit, 3 one bed houses and 1 two-bed house. Part under construction at April 2019.",local-authority-eng:HAT,not owned by a public authority,2015-07-06,,permissioned,full planning permission,POINT(-0.845712 51.277732),15/00230/FUL,https://publicaccess.hart.gov.uk/online-applications/,2017-12-22
"Clare Park Private Retirement Residences Ltd, Clare Park, Farnham, Hampshire, GU10 5DT",yes,21/11/2019,2019-11-14,,2.15,7,7,Extension of original General Managers Cottage to form additional cottage for residents and construction of five new residents cottages. No. dwellings corrected in 2019 following a review of the original permission. Part completed (the conversion) at April 2019.,local-authority-eng:HAT,not owned by a public authority,2016-04-22,,permissioned,full planning permission,POINT(-0.846304 51.224315),15/02977/FUL,https://publicaccess.hart.gov.uk/online-applications/,2017-12-22
"Branksome Chambers, Branksomewood Road, Fleet, Hampshire, GU51 4JS",,21/11/2019,2019-11-21,,0.08,5,5,Change of use from office under Class B1(a) to dwelling under Class C3: 5 x 2-bed flats. Previous permission (14/02454/PNDW) for 5 dwellings granted 2014-12-03. Development 17/02311/PRIOR complete at April 2019.,local-authority-eng:HAT,not owned by a public authority,2017-12-01,,permissioned,other,POINT(-0.843116 51.281214),17/02311/PRIOR,https://publicaccess.hart.gov.uk/online-applications/,2017-12-22
"Silvergate, Redfields Industrial Park, Church Crookham, Fleet, Hampshire",,,2018-12-20,,0.45,44,44,Change of use from office (B1a) to dwellings (C3) for 44 dwellings . Scheme has no SANG mitigation and therefore can not be considered deliverable. Site not included in housing trajectory. Site covered by Article 4 Direction removing right to change from B1 to C3 with effect from 2019-05-06. Permission lapses 2020-04-12.,local-authority-eng:HAT,not owned by a public authority,2017-04-12,,permissioned,other,POINT(-0.849139 51.252444),17/00244/PRIOR,https://publicaccess.hart.gov.uk/online-applications/,2017-12-22
"144 Clarence Road, Fleet, GU51 3RS",,21/11/2019,2017-12-22,,0.05,5,5,Redevelopment of site to construct building to house 5 2-bedroom residential units. Development complete at April 2019.,local-authority-eng:HAT,not owned by a public authority,2017-09-07,,permissioned,full planning permission,POINT(-0.840953 51.279394),17/02762/FUL,https://publicaccess.hart.gov.uk/online-applications/,2017-12-22
"Victoria House, 18-22 Albert Street, Fleet, Hampshire, GU51 3RJ",,21/11/2019,2018-12-20,,0.1,12,12,"Change of use from B1a offices to 5 flats on ground floor (17/02008/PRIOR), 5 flats on first floor (17/02010/PRIOR), and 2 flats on second floor (17/02011/PRIOR) all granted the same day. Development complete at April 2019.",local-authority-eng:HAT,not owned by a public authority,2017-10-05,,permissioned,other,POINT(-0.837735 51.28366),17/02011/PRIOR,https://publicaccess.hart.gov.uk/online-applications/,2017-12-22
