site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Colebrook Centre, Noke Drive, Redhill",,,2019-12-31,,1.30,110,110,"The site has been allocated in the DMP (DMP site allocation policy RTC4) for mixed-use housing (potentially housing for older people) and community use. The site is situated in a highly accessible location, in close proximity to Redhill town centre and adjacent to the rail station. The site provides an opportunity for intensification of an existing previously developed site. The site is partially affected by Flood Zones 2 and 3a and there are a number of protected trees on the site.",local-authority-eng:REI,owned by a public authority,,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0004S2MVLI000,Not permissioned,,RBBCBLR021,http://www.reigate-banstead.gov.uk/downloads/file/3844/rbbcblr021,2017-12-31
"Reading Arch Road Industrial Estate, Redhill",,,2019-12-31,,1.75,150,150,The site in its current state is not considered to provide a fitting approach to the town centre gateway along the important approach route. The site does not currently maximise its potential. The site has been allocated in the DMP for mixed-use development (retail and residential use) (DMP site allocation policy RED8). The DMP requires redevelopment of the site to secure the relocation of the active uses to suitable alternative premises elsewhere in the borough. Development of the site for retail uses would be dependent upon a full assessment of the impact on the town centre. The site partially falls within Flood Zones 2 and 3. The Redhill Brook is partially culverted under the site.,local-authority-eng:REI,mixed ownership,,https://planning.reigate-banstead.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=KIYU72MV08800,Not permissioned,,RBBCBLR022,http://www.reigate-banstead.gov.uk/downloads/file/3832/rbbcblr022,2017-12-31
"Former Copyhold Works, Nutfield Road, Redhill",yes,,2019-12-31,,1.68,35,35,The site is allocated as part of a wider site allocation (DMP site allocation policy ERM2/3). Delivery of the site is dependent upon DMP Policy MLS1 “Managing Land Supply.,local-authority-eng:REI,not owned by a public authority,,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=IEXLSZMVR5000,Not permissioned,,RBBCBLR024,http://www.reigate-banstead.gov.uk/downloads/file/3841/rbbcblr024,2017-12-31
"Quarryside Business Park, Thornton Side, Redhill",yes,,2019-12-31,,1.20,60,60,The site was identified for residential development in the Land at Holmethorpe Development Brief (2001). The site has been allocated in the DMP for mixed-use residential and community development (DMP site allocation policy RED1). The site is partially affected by surface water flooding.,local-authority-eng:REI,not owned by a public authority,,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000P4RMVLI000,Not permissioned,,RBBCBLR025,http://www.reigate-banstead.gov.uk/downloads/file/3852/rbbcblr025,2017-12-31
"Patteson Court, Nutfield Road, Redhill",yes,,2019-12-31,,0.40,22,22,"Since 2018 Brownfield Land Register, a new permission has been approved: • Prior approval 17/00785/P approved 2017-05-24 for change of use from offices to 10 residential units. • Prior approval 19/00639/P approved 2019-05-17 for change of use from offices to 22 residential units.. Change of use from offices (B1a) to 22 residential units (C3).",local-authority-eng:REI,not owned by a public authority,2019-05-17,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0006LNMVLI000,permissioned,other,RBBCBLR027,http://www.reigate-banstead.gov.uk/downloads/file/3842/rbbcblr027,2017-12-31
"Land at Gloucester Road, Redhill",,,2019-12-31,,0.76,60,60,The site has been allocated in the DMP (DMP site allocation policy RTC6) for either residential; residential and office development; or office only development. The site is partially affected by surface water flooding. Loss of town centre car parking capacity would need to be fully assessed and retained or re-provided.,local-authority-eng:REI,owned by a public authority,,,Not permissioned,,RBBCBLR033,http://www.reigate-banstead.gov.uk/downloads/file/3851/rbbcblr033,2017-12-31
"Former Longmead Adult Education Centre, Redhill",,,2019-12-31,,0.22,20,20,The site has been allocated in the DMP for residential development (DMP site allocation policy RTC5). The site is affected by surface water flooding.,local-authority-eng:REI,owned by a public authority,,,Not permissioned,,RBBCBLR034,http://www.reigate-banstead.gov.uk/downloads/file/3831/rbbcblr034,2017-12-31
"Grosvenor House, London Road, Redhill",yes,,2019-12-31,,0.45,100,100,The proposal relates to the change of use from offices to residential apartments.. The proposal relates to the change of use from offices to residential apartments.,local-authority-eng:REI,not owned by a public authority,2017-08-10,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000RRTMVLI000,permissioned,other,RBBCBLR035,http://www.reigate-banstead.gov.uk/downloads/file/3856/rbbcblr035,2017-12-31
"Land at 50-52, Unit 54 and 61 Albert Road North, Reigate",,,2019-12-31,,1.27,40,40,The site has been allocated in the DMP as part of a wider opportunity site (DMP site allocation policy REI3) for mixed-use residential and employment development. The site is partially affected by surface water flooding risk.,local-authority-eng:REI,not owned by a public authority,,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0017FFMVLI000,Not permissioned,,RBBCBLR041,http://www.reigate-banstead.gov.uk/downloads/file/3876/rbbcblr041,2017-12-31
"51-57 Albert Road North, Reigate",,,2019-12-31,,0.59,20,20,The site has been allocated in the DMP as part of a wider opportunity site (DMP site allocation policy REI3) for mixed-use residential and employment development. The site is partially affected by surface water flooding risk.,local-authority-eng:REI,not owned by a public authority,,https://planning.reigate-banstead.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=LVVOR4MV08800,Not permissioned,,RBBCBLR042,http://www.reigate-banstead.gov.uk/downloads/file/3868/rbbcblr042,2017-12-31
"Reigate Police Station, Reigate Road, Reigate",,,2019-12-31,,0.57,25,25,,local-authority-eng:REI,owned by a public authority,,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001BYPMVLI000,Not permissioned,,RBBCBLR043,http://www.reigate-banstead.gov.uk/downloads/file/3875/rbbcblr043,2017-12-31
"Land adjacent to Town Hall, Castlefield Road, Reigate",yes,,2019-12-31,,0.25,30,30,"The site has been allocated in the DMP for housing or office development (DMP site allocation policy REI2). The site is within the Reigate Town Centre Conservation Area. The site is adjacent to the Grade II Listed Town Hall, Scheduled Monument, Regionally Important Geological Site and Urban Open Space designation.",local-authority-eng:REI,owned by a public authority,,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000RWRMVLI000,Not permissioned,,RBBCBLR045,http://www.reigate-banstead.gov.uk/downloads/file/3869/rbbcblr045,2017-12-31
"Reigate Library, Bancroft Road, Reigate",,,2019-12-31,,0.22,25,25,"The site has been identified in the DMP as part of a wider opportunity area (DMP opportunity area policy REI1) for mixed-use retail/commercial/leisure/community uses and residential development. It requires the retention, replacement or relocation of existing community uses and a relocation strategy for existing business/industrial occupiers or, where appropriate, accommodation of existing businesses. The site is partially affected by Flood Zones 2 and 3.",local-authority-eng:REI,owned by a public authority,,,Not permissioned,,RBBCBLR046,http://www.reigate-banstead.gov.uk/downloads/file/3866/rbbcblr046,2017-12-31
"Millennium House, 99 Bell Street, Reigate",yes,,2019-12-31,,0.10,19,19,There are two relevant applications for this site: • Prior approval (19/01300/P) for change of use from offices to residential to create16 units • Full planning permission (19/01299/F) for alterations to existing roof to create 3rd floor of residential accommodation comprising three apartments.. There are two relevant applications for this site: • Prior approval (19/01300/P) for change of use from offices to residential to create16 units • Full planning permission (19/01299/F) for alterations to existing roof to create 3rd floor of residential accommodation comprising three apartments.,local-authority-eng:REI,not owned by a public authority,,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=O7BV0IMV0FL00,permissioned,other,RBBCBLR047,http://www.reigate-banstead.gov.uk/downloads/file/3870/rbbcblr047,2017-12-31
"Castlefield House, 3-5 Castlefield Road, Reigate",yes,,2019-01-02,,0.40,41,41,Proposed change of use from Class B1(A) to Class C3 residential use.. Proposed change of use from Class B1(A) to Class C3 residential use.,local-authority-eng:REI,not owned by a public authority,2017-07-24,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000RWQMVLI000,permissioned,other,RBBCBLR049,http://www.reigate-banstead.gov.uk/downloads/file/3865/rbbcblr049,2017-12-31
