site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
250 Lancing Road Sheffield S2 4EX,yes,,2017-12-12,,0.02,5,5,Estimated to comprise of 5 Apartments,local-authority-eng:SHF,not owned by a public authority,2016-05-27,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O3CUJUNYFY000,permissioned,full planning permission,S03291,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
Site Of 82 - 84 Winter Street Sheffield S3 7ND,yes,,2017-12-12,,0.11,67,67,Estimated to comprise of 67 Student Clusters,local-authority-eng:SHF,not owned by a public authority,2017-02-15,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OCH39CNYLEK00,permissioned,full planning permission,S03386,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
Former Eon Works Earl Street Sheffield S1 4PY,,,2017-12-12,,0.15,129,129,Estimated to comprise of 129 Apartments,local-authority-eng:SHF,,2017-09-08,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OO8MF2NYKCC00,permissioned,full planning permission,S00750,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
2 Haymarket And 5-7 Commercial Street Sheffield S1 1PF,,,2017-12-12,,0.05,11,11,Estimated to comprise of 11 Apartments,local-authority-eng:SHF,not owned by a public authority,2016-06-01,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O3075ZNYFY000,permissioned,full planning permission,S01521,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
"Weakland drive, Weakland Crescent",yes,,2017-12-12,,1.2,38,38,Estimated to comprise of 38 Houses,local-authority-eng:SHF,owned by a public authority,2016-04-21,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NZK799NYFY000,permissioned,full planning permission,S01478,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
"Firs Hill Sheltered Scheme, Firshill Crescent S4 7BS",,,2017-12-12,,0.25,14,14,Estimated to comprise of 14 Apartments,local-authority-eng:SHF,owned by a public authority,2015-01-22,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N5ZJISNYFY000,permissioned,full planning permission,S01442,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
"Site Of TTS Car Sales Ltd, Archer Road, Sheffield",yes,,2017-12-12,,0.12,28,28,Estimated to comprise of 28 Apartments,local-authority-eng:SHF,not owned by a public authority,2017-02-20,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OAJSOZNYJGO00,permissioned,full planning permission,S01361,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
"800 Gleadless Road, Sheffield",yes,,2017-12-12,,0.2,12,12,Estimated to comprise of 12 Apartments,local-authority-eng:SHF,not owned by a public authority,2012-01-27,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=LQJARENYFY000,permissioned,full planning permission,S01353,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
"Griff Works, Stopes Road, Stannington, S6 6BW",yes,,2017-12-12,,4.94,62,62,Estimated to comprise of 62 Houses,local-authority-eng:SHF,not owned by a public authority,2017-04-24,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OIA9UMNYKW900,permissioned,full planning permission,S01263,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
335 And 337 Ecclesall Road South Sheffield S11 9PW,,,2017-12-12,,0.11,10,10,Estimated to comprise of 10 Apartments,local-authority-eng:SHF,not owned by a public authority,2015-03-05,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MZOU7NNYFY000,permissioned,full planning permission,S01702,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
