site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
50 St German's Road,yes,,2018-10-22,,0.06,5,5,"17/100842 for residential development including 1 x one bedroom, 3 x two bedroom and 1 x three bedroom self contained flats",local-authority-eng:LEW,not owned by a public authority,2017-08-21,,permissioned,full planning permission,CP007,http://www.lewisham.gov.uk/brownfieldregister,2018-10-22
26 Marnock Road,yes,,2018-10-22,,0.19,6,6,17/102317 for residential development including 6 x three storey terraced houses,local-authority-eng:LEW,owned by a public authority,2017-11-27,,permissioned,full planning permission,CP008,http://www.lewisham.gov.uk/brownfieldregister,2018-10-22
246 Brownhill Road,yes,,2017-11-30,,0.1,5,5,14/088055 for residential development including 5 x three bedroom residential units,local-authority-eng:LEW,not owned by a public authority,2015-06-15,,permissioned,full planning permission,CS002,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
"Pheobes Garden Centre, Penerley Road",yes,,2018-10-22,,0.42,27,27,"17/102292 for residential development including 10 x one bedroom, 10 x two bedroom and 7 x three bedroom self-contained flats",local-authority-eng:LEW,not owned by a public authority,2018-06-29,,permissioned,full planning permission,CS003,http://www.lewisham.gov.uk/brownfieldregister,2018-10-22
Convoys Wharf,yes,,2018-10-22,,20.42,,,"13/083358 for mixed use development including up to 3,514 (321,000 m2) residential units",local-authority-eng:LEW,not owned by a public authority,2015-03-10,,permissioned,outline planning permission,EV001,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
"Timber Yard, Deptford Wharves, Oxestalls Road",yes,,2017-11-30,,4.6,1131,1131,15/092295 for mixed use development including 1132 residential units. This is a hybrid application: full for phase 1 and outline for phases 2 and 3,local-authority-eng:LEW,not owned by a public authority,2016-03-23,,permissioned,outline planning permission,EV002,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
Arklow Road Trading Estate MEL,yes,,2017-11-30,,1.28,316,316,15/093101 for mixed use development including full permission for 258 residential dwellings and reserved matters 16/097829 for up to 58 dwellings,local-authority-eng:LEW,not owned by a public authority,2017-01-20,,permissioned,reserved matters approval,EV003,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
Marine Wharf East,yes,,2017-11-30,,0.87,225,225,"15/091087 and 16/097829 for mixed use development including 102 x one bed, 79 x two bed, 40 x three bed and 4 x four bed units",local-authority-eng:LEW,not owned by a public authority,2015-11-13,,permissioned,full planning permission,EV004,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
"Neptune Works, Parkside House, Grinstead Road",yes,,2017-11-30,,1.14,199,199,"10/75331 and 14/089647 for mixed use development including 199 residential units comprising 70 x one bedroom, 100 x two bed, 19 x three bedroom and 10 x four bedroom units",local-authority-eng:LEW,not owned by a public authority,2012-03-30,,permissioned,full planning permission,EV005,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
19 Yeoman Street,yes,,2017-11-30,,0.26,72,72,16/098132 for mixed use development including 72 residential units,local-authority-eng:LEW,not owned by a public authority,2017-01-25,,permissioned,full planning permission,EV007,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
"Evelyn Court, Grinstead Road",,,2018-10-22,,0.21,18,18,Lapsed 14/089442 Prior approval for mixed use development including 18 residential dwellings,local-authority-eng:LEW,not owned by a public authority,,,not permissioned,,EV009,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30
