site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
"Beckminster House, Beckminster Road",,,2018-05-22,,0.86,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.149307 52.572509),D20,,
"Former Wolverhampton Environment Centre, Westacre Crescent",,,2018-05-22,,0.5,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.179092 52.582014),D33,,
Ackleton Gardens Rear of Nos 47-49 Church Road Bradmore Wolverhampton,,,2018-05-22,,0.2,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.154815 52.573643),30430,,
"Land at the rear of 58A Hollybush Lane, Penn",,,2018-05-22,,0.061,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.166637 52.558749),P24,,
"Land between 53 & 55 Leason Lane, The Scotlands",,,2018-05-22,,0.06,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.103512 52.612023),29880,,
Former garage site adjoining 42 and 44 Primrose Lane,,,2018-05-22,,0.078,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.102228 52.612374),29920,,
"32A Laburnum Road, Stowheath.",,,2018-05-22,,0.03,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.091034 52.57673),P29,,
62 & 64 Villiers Avenue,,,2018-05-22,,0.0526639,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.079398 52.57263),31230,,
"Land adjoining 1 Norfolk Road, Pennfields",,,2018-05-22,,0.047,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.145192 52.577251),31460,,
"62/63 Worcester Street, Wolverhampton",,,2018-05-22,,0.016,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.131261 52.582149),31730,,
"Land at 127 Waterloo Road, Wolverhampton",,,2018-05-22,,0.24,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.131607 52.593898),P30,,
61 Wrottesley Road Wolverhampton West Midlands WV6 8SG,,,2018-05-22,,0.1051,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.180292 52.6009),33040,,
"25 Shaw Road, Blakenhall",,,2018-05-22,,0.07,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.126869 52.56875),P28,,
"Blunts Shoeshop, 5-15 Broad Street, Wolverhampton",,,2018-05-22,,0.04,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.125462 52.587441),P32,,
102 Napier Road,,,2018-05-22,,0.0592775,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.123763 52.571477),30790,,
Land adjacent to 50 Jeremy Road Goldthorn Park.,,,2018-05-22,,0.022,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.132796 52.562424),P31,,
Culwell Industrial Estate,,,2018-05-22,,4.2055,,,,local-authority-eng:WLV,,,,Adopted Local Plan,,POINT(-2.109495 52.59464),32730,,
"Cornerstone Veterinary Centre, Northwood Park Road, Bushbury",,,2018-05-22,,0.092,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.113012 52.624636),31850,,
Garage Site Rear Of 104 And 106 Mount Road Lanesfield Wolverhampton West Midlands,,,2018-05-22,,0.0544,,,,local-authority-eng:WLV,,,,Completed During 2016/17,,POINT(-2.108475 52.55256),32860,,
Goldthorn Hill Pumping Station and Allotments,,,2018-05-22,,0.48,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.133698 52.568185),27430,,
85 Northwood Park Road Wolverhampton West Midlands WV10 8EX,,,2018-05-22,,0.0289,,,,local-authority-eng:WLV,,,,pending decision,,POINT(-2.11804 52.626752),37610,,
"Former Dale House, Showell Circus",,,2018-05-22,,0.36,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.112814 52.611223),32700,,
20 Lawley Road Wolverhampton West Midlands WV14 0NB,,,2018-05-22,,0.1137,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.090474 52.569979),33530,,
"New Cross Hospital, Wolverhampton Road",,,2018-05-22,,23.59,,,,local-authority-eng:WLV,,,,Adopted Local Plan,,POINT(-2.095035 52.598383),32710,,
Land Adjacent To 1 Howard Road Britannia Road Wolverhampton West Midlands,,,2018-05-22,,0.0608,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.063657 52.554354),33320,,
50-52 Willenhall Road Bilston Wolverhampton West Midlands WV14 6NW,,,2018-05-22,,0.1281,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.064818 52.57156),33500,,
Store Adjacent 35 Claremont Road Wolverhampton West Midlands WV3 0EA,,,2018-05-22,,0.0188,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.142277 52.574855),32950,,
"Land between 66 & 68 Redcotts Close, The Scotlands",,,2018-05-22,,0.0433,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.101769 52.61153),29850,,
99 Wellington Road Bilston,,,2018-05-22,,0.401,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.08863 52.570457),31930,,
21 Lichfield Street Bilston Wolverhampton West Midlands WV14 0AG,,,2018-05-22,,0.0331,,,,local-authority-eng:WLV,,,,Other Commitment,,POINT(-2.073603 52.566188),32230,,
"1 Princess Street, City Centre WV1 1HQ",,,2018-05-22,,0.02,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.12587 52.585652),34470,,
"Old Vine PH, Lower Vauxhall",,,2018-05-22,,0.1,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.144845 52.588426),34390,,
"Former Sons Of Rest, Hackett Close WV14 9SD",,,2018-05-22,,0.1,,,,local-authority-eng:WLV,,,,pending decision,,POINT(-2.104434 52.546513),34770,,
48 Bolton Road Wolverhampton West Midlands WV11 1UA,,,2018-05-22,,0.04,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.081658 52.597818),33760,,
1-3 Hunter Street,,,2018-05-22,,0.04,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.144747 52.594665),34190,,
"Land adjacent to and rear of 6 Bridgnorth Road, Wolverhampton, West Midlands",,,2018-05-22,,0.28,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.173458 52.586653),35620,,
