site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
Preston Park Hotel 216 Preston Road Brighton,yes,,2019-12-16,,0.06,22,22,Draft City Plan Part 2 Allocation. Not Started 2019,local-authority-eng:BNH,not owned by a public authority,2018-08-07,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR61DMXE898,permissioned,full planning permission,SHLAA6117,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa6117-preston-park-hotel-216-preston-road-brighton.pdf,2017-09-21
Montpelier Baptist Church (Baptist Tabernacle) Montpelier Place Brighton,yes,,2019-12-16,,0.09,24,24,Commenced 2018. Draft City Plan Part 2.,local-authority-eng:BNH,not owned by a public authority,2017-12-08,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ONIJJLDMJYS00,permissioned,full planning permission,SHLAA6118,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa6118-montpelier-baptist-church-baptist-tabernacle-montpelier-place-brighton.pdf,2017-09-25
Hove Business Centre Fonthill Road Hove,yes,,2019-12-16,,0.21,24,24,Two applications on site one on top of the flat roof BH2014/03742 the other at 11-14 BH2017/03876 Not Started 2019,local-authority-eng:BNH,not owned by a public authority,2016-12-06,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OZTSGSDMHVS00|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OZVBOHDM0PA00|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR66DMXE712,permissioned,full planning permission,SHLAA6119,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa6119-hove-business-centre-fonthill-road-hove.pdf,2017-09-25
251-253 Preston Road Brighton,yes,,2019-12-16,,0.05,28,28,Commenced 2018. Draft City Plan Part 2 Allocation.,local-authority-eng:BNH,owned by a public authority,2016-11-03,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR61DMXE353|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR65DMXE742,permissioned,full planning permission,SHLAA6122,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa6122-251-253-preston-road-brighton.pdf,2017-09-25
76-79 & 80 Buckingham Road Brighton,yes,,2019-12-16,yes,0.02,34,34,Commenced 2019. City Plan Part 2 Allocation,local-authority-eng:BNH,owned by a public authority,2019-03-29,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P728V5DMMYG00|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR60DMXE040,permissioned,full planning permission,SHLAA6124,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa6124-76-79-80-buckingham-road-brighton.pdf,2017-09-25
27 Palmeira Avenue Hove,yes,,2019-12-16,,0.04,6,6,Commenced 2018,local-authority-eng:BNH,not owned by a public authority,2015-08-20,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OQ1WKADMMTR00|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR65DMXE099,permissioned,full planning permission,SHLAA6136,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa6136-27-palmeira-avenue-hove.pdf,2017-09-25
(EM1) School Road Industrial Area School Road Hove (Rayford House),yes,,2019-12-16,,0.34,41,41,Technical commencement 2019 BH2015/04606 9 Units. Prior Approval BH2016/02282 32 Units Not Started 2019 41 Total,local-authority-eng:BNH,not owned by a public authority,2016-08-11,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR5ZDMXE597|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR61DMXE834,permissioned,other,SHLAA6137,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa6137-school-road-industrial-area-school-road-hove-rayford-house.pdf,2017-09-25
Former Housing Office (George Cooper House) 21-22 Oxford Street Brighton,yes,,2019-12-16,,0.02,10,10,Planning application approved 2019,local-authority-eng:BNH,owned by a public authority,2019-09-12,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PEC0YKDMFQ700,permissioned,full planning permission,SHLAA6141,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa6141-former-housing-office-george-cooper-house-21-22-oxford-street-brighton.pdf,2017-09-25
60-62 & 65 Gladstone Place Brighton,,,2019-12-16,,0.16,10,10,Pre-application stages. Adjacent to Local Wildlife Site.,local-authority-eng:BNH,not owned by a public authority,,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR7SDMXE626,not permissioned,,SHLAA6142,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa6142-60-62-65-gladstone-place-brighton.pdf,2017-10-03
Combined Engineering depot New England Road,,,2019-12-16,,1.39,100,100,Call for sites 2017. Draft City Plan Part 2 Allocation,local-authority-eng:BNH,not owned by a public authority,,,not permissioned,,SHLAA6143,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa6143-combined-engineering-depot-new-england-road.pdf,2017-10-03
